quarter,tsnh,no_nh,no_phai_tra,tong_ts,vcsh,hang_ton_kho,phai_thu_kh,tien,doanh_thu,ebt,lai_vay,lnst,cfo,ticker,nganh
2026-Q1,1868101304088.0,221042089108.0,295196701444.0,1919733302390.0,1624536600946.0,646056910457.0,29231596683.0,305500044780.0,4467747931.0,18275157878.0,0.0,14557047488.0,-258721767253.0,NTL,Bat dong san
2025-Q4,1831519305735.0,249147981813.0,274375408813.0,1884354962271.0,1609979553458.0,567214343357.0,29229499990.0,511664808384.0,4034683537.0,-637428109.0,-47948697.0,-3076548998.0,-569796778671.0,NTL,Bat dong san
2025-Q3,1921041394599.0,231761784949.0,242622017949.0,1977658020405.0,1735036002456.0,505660643346.0,29229499990.0,514670869671.0,3860475363.0,21482146484.0,0.0,12701748203.0,414115403378.0,NTL,Bat dong san
2025-Q2,1900483817716.0,224594439413.0,235454672413.0,1957788926666.0,1722334254253.0,518974556598.0,29495916662.0,598255662542.0,6141339620.0,2845765176.0,0.0,1450606769.0,-126259502208.0,NTL,Bat dong san
2026-Q1,2345442422674.0,697315748272.0,1438980062749.0,3387826929937.0,1948846867188.0,824221436772.0,27711754942.0,79500224191.0,176210588509.0,139882832225.0,-4487095578.0,112183216200.0,55753814310.0,LHG,Bat dong san
2025-Q4,2223098558168.0,733258201342.0,1439661544026.0,3276325195014.0,1836663650988.0,831036542104.0,14518809338.0,90116674302.0,121478671222.0,56851531200.0,-2956943350.0,46465219146.0,65373799379.0,LHG,Bat dong san
2025-Q3,2218895202560.0,718047719265.0,1368381302271.0,3158579734113.0,1790198431842.0,802505133031.0,17841636348.0,99650071250.0,112193862251.0,57055933683.0,-2955257916.0,46094191870.0,6560898289.0,LHG,Bat dong san
2025-Q2,2294758079530.0,844628814914.0,1454453095432.0,3198557335404.0,1744104239972.0,788408208558.0,17646997777.0,128245236750.0,223248858263.0,112049132103.0,-3237323376.0,89813191046.0,31719334673.0,LHG,Bat dong san
2026-Q1,2687208229094.0,1196221189074.0,5112934983757.0,8332969989586.0,3220035005829.0,1907550522261.0,68383180051.0,410378560412.0,101942063890.0,21236458431.0,-5121233999.0,17146483294.0,110054051796.0,SZC,Bat dong san
2025-Q4,2531411574456.0,1464251053824.0,4968582890855.0,8171471413390.0,3202888522535.0,1892683364091.0,65617712138.0,417191627627.0,379420187539.0,142738287424.0,-6596717391.0,102702942233.0,96283043500.0,SZC,Bat dong san
2025-Q3,2598554345905.0,1559169830369.0,5058028667103.0,8199951443136.0,3141922776033.0,1844332847586.0,71670821632.0,380944832499.0,86471163333.0,25619051190.0,-6454190315.0,20821189683.0,78907042208.0,SZC,Bat dong san
2025-Q2,2598955722066.0,1620119435932.0,5041820244082.0,8162921830432.0,3121101586350.0,1796839304435.0,78397665965.0,349978681894.0,217829309146.0,118230971947.0,-7547792934.0,94927613607.0,34208588250.0,SZC,Bat dong san
